area;ciudad;conglomerado;vivienda;hogar;persona;s1p3;s2p1;s2p2a;s2p2b;s2p3;s2p41;s2p42;s2p43;s2p44;s2p45;s2p5;s2p6;s2p7a;s2p7b;s2p8;s2p9;s2p10a;s2p10b;s6p1a;s6p1b;s6p2;s6p3;s6p4;s6p4a;s6p4b;s6p4c;s6p4d;s7p1a;s7p1b;s7p1a1;s7p1b1;s7p1b2;s7p1b3;s7p1b4;s7p1b5;s7p1b6;s7p2;s7p211;s7p212;s7p213;s7p214;s7p3;s7p4;s7p5;s7p6;s7p71;s7p72;s7p73;s7p74;s7p75;s7p76;s7p77;s7p78;s7p79;upm;estrato;fexp;id_hogar;id_per
1;10150; 10150013201;3;1;2;25;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;2;11;13;13;2;1;8;2; ; ; ; ; ; ; ; ; ;010150013201;2712;1058,58296869218;010150013201031;01015001320103102
1;10150; 10150013201;3;1;3;24;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;1;2;10;8;1;1;5;1;1;1;1;2;2;2;1;1;2;010150013201;2712;1083,49637080676;010150013201031;01015001320103103
1;10150; 10150013201;3;1;4;20;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;1;2;7;10;1;1;5;1;1;1;1;2;2;2;2;1;99;010150013201;2712;1058,58296869218;010150013201031;01015001320103104
1;10150; 10150013201;3;1;5;18;1;6;3;1;1;1;1;1;1;1;1;2; ; ; ; ; ;2; ;99; ;2; ; ; ; ;1;1;1;2;1;1;1;1;1;1;1;2;5;7;1;1;5;2; ; ; ; ; ; ; ; ; ;010150013201;2712;1083,49637080676;010150013201031;01015001320103105
1;10150; 10150013201;5;1;1;51;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;1;1;0;0;1;0;1;1;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150013201;2712;1083,49637080676;010150013201051;01015001320105101
1;10150; 10150013201;5;1;2;44;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2;2;1;3;0;2;0;1;1;1;1;1;1;1;2;2;1;1;2;5;11;1;1;2;2; ; ; ; ; ; ; ; ; ;010150013201;2712;1058,58296869218;010150013201051;01015001320105102
1;10150; 10150013201;5;1;3;24;1;8;3; ; ; ; ; ; ;1;1;1;60; ; ; ; ;1;1;4;2;2; ; ; ; ;1;1;1;1;1;1;1;2;1;1;1;2;5;7;1;1;5;1;1;1;1;1;1;2;2;1;2;010150013201;2712;1083,49637080676;010150013201051;01015001320105103
1;10150; 10150013201;5;1;4;18;1;7;1; ; ; ; ; ; ;3;3;2; ; ; ; ; ;2; ;2;2;1;2;30;1;0;1;1;1;1;1;1;1;2;1;1;2;5;8;13;1;1;6;1;1;1;1;1;2;2;1;1;2;010150013201;2712;1058,58296869218;010150013201051;01015001320105104
1;10150; 10150013201;5;1;5;15;1;6;1;1;1;1;1;1;1;2;2;2; ; ; ; ; ;1;2;2;2;1;8;0;0;0;1;1;1;1;1;1;1;1;2;1;2;5;13;13;1;1;5;1;1;1;1;2;2;2;1;2;2;010150013201;2712;1083,49637080676;010150013201051;01015001320105105
1;10150; 10150013201;7;1;1;25;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;1;0;0;3;0;1;1;1;1;1;1;2;2;1;1;2;7;13;13;1;1;1;2; ; ; ; ; ; ; ; ; ;010150013201;2712;1083,49637080676;010150013201071;01015001320107101
1;10150; 10150013201;7;1;2;24;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;1;0;0;2;0;2; ; ; ; ; ; ; ; ;1;1;2;7;13;1;1;1;2; ; ; ; ; ; ; ; ; ;010150013201;2712;1058,58296869218;010150013201071;01015001320107102
1;10150; 10150013201;9;1;1;41;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;2;2; ; ; ; ;1;1;1;1;1;1;1;1;2;1;10;2;13;13;2;1;12;2; ; ; ; ; ; ; ; ; ;010150013201;2712;1083,49637080676;010150013201091;01015001320109101
1;10150; 10150013201;9;1;2;42;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;6;2; ; ; ; ;1;1;1;1;1;2;1;2;1;1;1;2;7;13;1;1;0;2; ; ; ; ; ; ; ; ; ;010150013201;2712;1058,58296869218;010150013201091;01015001320109102
1;10150; 10150013201;9;1;3;18;1;8;1; ; ; ; ; ; ;1;1;2; ; ; ; ; ;2; ;3;6;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;5;2;7;13;1;1;8;1;1;1;1;1;1;1;1;1;2;010150013201;2712;1083,49637080676;010150013201091;01015001320109103
1;10150; 10150013201;9;1;4;17;1;6;3;1;2;2;1;1;1;1;1;2; ; ; ; ; ;1;3;3;6;1;6;0;0;0;1;1;1;1;1;1;1;2;2;1;5;2;7;13;1;1;8;1;1;1;1;1;1;1;1;1;99;010150013201;2712;1083,49637080676;010150013201091;01015001320109104
1;10150; 10150013201;9;1;5;21;1;8;2; ; ; ; ; ; ;1;1;2; ; ; ; ; ;1;2;4;7;1;2;0;0;0;1;1;1;1;1;1;1;1;1;1;5;2;7;13;1;1;8;1;1;1;1;1;1;1;1;1;2;010150013201;2712;1083,49637080676;010150013201091;01015001320109105
1;10150; 10150013201;15;1;1;38;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;1;3;0;0;0;1;1;1;1;1;1;1;1;2;1;2;5;13;13;1;1;2;1;1;1;1;1;2;2;2;2;2;010150013201;2712;1058,58296869218;010150013201151;01015001320115101
1;10150; 10150013201;15;1;2;28;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;2;7;13;13;1;1;1;2; ; ; ; ; ; ; ; ; ;010150013201;2712;1083,49637080676;010150013201151;01015001320115102
